,artist,track_number,id,name,uri,release_date,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,owner,date_till_now
0,Jonathan Lee,4,207XxxfVOVFGRENCbfekzx,不必在乎我是誰 (Live),spotify:track:207XxxfVOVFGRENCbfekzx,2016-11-18,255552,0,0.689,0.542,0.326,4.52e-05,0.773,-12.117,0.0357,117.888,0.152,1,Sum,3.824657534246575
1,Dick and Cowboy,8,2btmvq1a6Fl8lYvnbbByJa,有多少愛可以重來,spotify:track:2btmvq1a6Fl8lYvnbbByJa,2015-11-18,295320,25,0.195,0.694,0.456,0.0,0.102,-8.815,0.0339,111.972,0.218,1,Sum,4.8273972602739725
2,Mavis Hee,1,40zpuMzFy8auzpByaQBy9J,都是夜歸人,spotify:track:40zpuMzFy8auzpByaQBy9J,1997-01-01,299000,32,0.644,0.677,0.309,1.57e-06,0.234,-14.413,0.0386,121.954,0.339,0,Sum,23.71780821917808
3,Jonathan Lee,23,0Yzq11bFWo9feTeO7k1VRz,我是真的愛你,spotify:track:0Yzq11bFWo9feTeO7k1VRz,2007-09-28,375453,25,0.793,0.349,0.439,0.0,0.963,-12.537,0.121,173.726,0.2,1,Sum,12.972602739726028
4,Jonathan Lee,1,4sZDrNBr9EsEvoOj7Z9Gr7,山丘,spotify:track:4sZDrNBr9EsEvoOj7Z9Gr7,2013-09-28,405800,47,0.358,0.591,0.604,1.89e-05,0.0748,-8.625,0.0766,141.94,0.23,1,Sum,6.967123287671233
5,Mao Buyi,12,22zLk8zlAjBCVYW7XbG1pY,如果有一天我變得很有錢,spotify:track:22zLk8zlAjBCVYW7XbG1pY,2018-07-03,170880,33,0.106,0.708,0.647,0.0,0.218,-6.628,0.0684,141.961,0.685,0,Sum,2.202739726027397
6,Mao Buyi,7,5VGIY7p4J5WPMCtXYWBdbX,像我這樣的人,spotify:track:5VGIY7p4J5WPMCtXYWBdbX,2018-07-03,207466,54,0.512,0.45,0.224,5.88e-06,0.0706,-11.985,0.034,123.196,0.308,1,Sum,2.202739726027397
7,Mavis Hee,3,203DlZkfPpwlUIMecF5y7U,遺憾,spotify:track:203DlZkfPpwlUIMecF5y7U,1999-01-01,278306,32,0.766,0.616,0.389,1.24e-06,0.104,-9.991,0.0323,112.94,0.133,1,Sum,21.71780821917808
8,Mavis Hee,2,1iDQ0rKPkk09OzBhXOltmg,遺憾,spotify:track:1iDQ0rKPkk09OzBhXOltmg,1996-01-01,281640,42,0.758,0.634,0.336,4.32e-06,0.096,-11.958,0.0346,112.932,0.0982,1,Sum,24.720547945205478
9,Mavis Hee,8,6xd86p3OlOZvEUqmbNsbEE,都是夜歸人,spotify:track:6xd86p3OlOZvEUqmbNsbEE,1999-01-01,298200,18,0.627,0.668,0.455,0.0,0.265,-9.355,0.0331,121.975,0.311,0,Sum,21.71780821917808
